0	0
0.000113636	0.309017
0.000227273	0.587785
0.000340909	0.809017
0.000454545	0.951056
0.000568182	1
0.000681818	0.951057
0.000795455	0.809017
0.000909091	0.587786
0.00102273	0.309018
0.00113636	7.27E-07
0.00125	-0.309016
0.00136364	-0.587785
0.00147727	-0.809016
0.00159091	-0.951056
0.00170455	-1
0.00181818	-0.951057
0.00193182	-0.809018
0.00204545	-0.587786
0.00215909	-0.309019
0.00227273	-2.10E-06
0.00238636	0.309015
0.0025	0.587783
0.00261364	0.809015
0.00272727	0.951055
0.00284091	1
0.00295454	0.951058
0.00306818	0.80902
0.00318182	0.587789
0.00329545	0.309022
0.00340909	5.72E-06
0.00352273	-0.309011
0.00363636	-0.58778
0.00375	-0.809013
0.00386363	-0.951054
0.00397727	-1
0.00409091	-0.951059
0.00420454	-0.809022
0.00431818	-0.587792
0.00443182	-0.309026
0.00454545	-9.35E-06
0.00465909	0.309008
0.00477272	0.587777
0.00488636	0.809011
0.005	0.951053
0.00511363	1
0.00522727	0.95106
0.00534091	0.809024
0.00545454	0.587795
0.00556818	0.309029
0.00568181	1.30E-05
0.00579545	-0.309004
0.00590909	-0.587774
0.00602272	-0.809009
0.00613636	-0.951052
0.00625	-1
0.00636363	-0.951061
0.00647727	-0.809026
0.0065909	-0.587798
0.00670454	-0.309032
0.00681818	-1.66E-05
0.00693181	0.309001
0.00704545	0.587771
0.00715909	0.809007
0.00727272	0.951051
0.00738636	1
0.00749999	0.951062
0.00761363	0.809028
0.00772727	0.587801
0.0078409	0.309036
0.00795454	2.02E-05
0.00806818	-0.308997
0.00818181	-0.587768
0.00829545	-0.809004
0.00840908	-0.95105
0.00852272	-1
0.00863636	-0.951063
0.00874999	-0.80903
0.00886363	-0.587804
0.00897727	-0.309039
0.0090909	-2.38E-05
0.00920454	0.308994
0.00931817	0.587765
0.00943181	0.809002
0.00954545	0.951049
0.00965908	1
0.00977272	0.951065
0.00988636	0.809032
0.00999999	0.587807
0.0101136	0.309043
0.0102273	2.75E-05
0.0103409	-0.308991
0.0104545	-0.587762
0.0105682	-0.809
0.0106818	-0.951048
0.0107954	-1
0.0109091	-0.951066
0.0110227	-0.809035
0.0111364	-0.58781
0.01125	-0.309046
0.0113636	-3.11E-05
